# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE76483|other_multiomics|Mus musculus|192|GSE76483_FPKM_table.txt.gz(2MB), GSE76483_matched_genebody_methylation.txt.gz(580KB), GSE76483_matched_promoter_methylation.txt.gz(469KB), GSE76483_Read_count_merged_table_GSM2099935-GSM2099952.txt.gz(298KB)|neuroscience,development|Simultaneous profiling of transcriptome and DNA methylome from a single cell|developed new sequencing method simultaneously sequence mouse DRG neurons|multiomics
GSE154826|cite_seq|Homo sapiens|166|GSE154826_amp_batch_ID_10.tar.gz(41MB), GSE154826_amp_batch_ID_11.tar.gz(27MB), GSE154826_amp_batch_ID_14.tar.gz(23MB), GSE154826_amp_batch_ID_15.tar.gz(30MB), GSE154826_amp_batch_ID_16.tar.gz(28MB), GSE154826_amp_batch_ID_17.tar.gz(35MB), GSE154826_amp_batch_ID_18.tar.gz(39MB), GSE154826_amp_batch_ID_19.tar.gz(39MB), GSE154826_amp_batch_ID_1.tar.gz(17MB), GSE154826_amp_batch_ID_22.tar.gz(8MB), GSE154826_amp_batch_ID_230.tar.gz(14MB), GSE154826_amp_batch_ID_231.tar.gz(10MB), GSE154826_amp_batch_ID_23.tar.gz(9MB), GSE154826_amp_batch_ID_244.tar.gz(26MB), GSE154826_amp_batch_ID_245.tar.gz(39MB), GSE154826_amp_batch_ID_24.tar.gz(10MB), GSE154826_amp_batch_ID_25.tar.gz(9MB), GSE154826_amp_batch_ID_26.tar.gz(6MB), GSE154826_amp_batch_ID_27.tar.gz(6MB), GSE154826_amp_batch_ID_28.tar.gz(22MB), GSE154826_amp_batch_ID_292.tar.gz(19MB), GSE154826_amp_batch_ID_293.tar.gz(23MB), GSE154826_amp_batch_ID_29.tar.gz(22MB), GSE154826_amp_batch_ID_2.tar.gz(15MB), GSE154826_amp_batch_ID_307.tar.gz(32MB), GSE154826_amp_batch_ID_308.tar.gz(34MB), GSE154826_amp_batch_ID_309.tar.gz(72MB), GSE154826_amp_batch_ID_30.tar.gz(24MB), GSE154826_amp_batch_ID_31.tar.gz(36MB), GSE154826_amp_batch_ID_32.tar.gz(15MB), GSE154826_amp_batch_ID_33.tar.gz(11MB), GSE154826_amp_batch_ID_342.tar.gz(109MB), GSE154826_amp_batch_ID_343.tar.gz(109MB), GSE154826_amp_batch_ID_344.tar.gz(108MB), GSE154826_amp_batch_ID_345.tar.gz(103MB), GSE154826_amp_batch_ID_346.tar.gz(110MB), GSE154826_amp_batch_ID_347.tar.gz(107MB), GSE154826_amp_batch_ID_348.tar.gz(112MB), GSE154826_amp_batch_ID_350.tar.gz(29MB), GSE154826_amp_batch_ID_351.tar.gz(32MB), GSE154826_amp_batch_ID_36.tar.gz(35MB), GSE154826_amp_batch_ID_37.tar.gz(39MB), GSE154826_amp_batch_ID_38.tar.gz(49MB), GSE154826_amp_batch_ID_39.tar.gz(17MB), GSE154826_amp_batch_ID_3.tar.gz(22MB), GSE154826_amp_batch_ID_40.tar.gz(21MB), GSE154826_amp_batch_ID_41.tar.gz(26MB), GSE154826_amp_batch_ID_42.tar.gz(20MB), GSE154826_amp_batch_ID_43.tar.gz(28MB), GSE154826_amp_batch_ID_44.tar.gz(27MB), GSE154826_amp_batch_ID_45.tar.gz(33MB), GSE154826_amp_batch_ID_46.tar.gz(23MB), GSE154826_amp_batch_ID_47.tar.gz(33MB), GSE154826_amp_batch_ID_48.tar.gz(34MB), GSE154826_amp_batch_ID_49.tar.gz(30MB), GSE154826_amp_batch_ID_4.tar.gz(33MB), GSE154826_amp_batch_ID_50.tar.gz(25MB), GSE154826_amp_batch_ID_51.tar.gz(31MB), GSE154826_amp_batch_ID_52.tar.gz(31MB), GSE154826_amp_batch_ID_53.tar.gz(71MB), GSE154826_amp_batch_ID_54.tar.gz(45MB), GSE154826_amp_batch_ID_55.tar.gz(44MB), GSE154826_amp_batch_ID_56.tar.gz(123MB), GSE154826_amp_batch_ID_5.tar.gz(25MB), GSE154826_amp_batch_ID_668.tar.gz(48MB), GSE154826_amp_batch_ID_6.tar.gz(13MB), GSE154826_amp_batch_ID_7.tar.gz(60MB), GSE154826_amp_batch_ID_88.tar.gz(146MB), GSE154826_amp_batch_ID_89.tar.gz(91MB), GSE154826_amp_batch_ID_8.tar.gz(40MB), GSE154826_amp_batch_ID_90.tar.gz(122MB), GSE154826_amp_batch_ID_91.tar.gz(123MB), GSE154826_amp_batch_ID_92.tar.gz(121MB), GSE154826_amp_batch_ID_93.tar.gz(123MB), GSE154826_amp_batch_ID_94.tar.gz(34MB), GSE154826_amp_batch_ID_95.tar.gz(21MB), GSE154826_amp_batch_ID_9.tar.gz(36MB), GSE154826_sample_annots.csv.gz(1KB)|cancer,immunology,lung_respiratory|CITEseq analysis of non-small-cell lung cancer lesions|Immunotherapy becoming mainstay treatment NSCLC profiled immune cells early stage multiscale single sequencing scRNAseq TCRseq|multiomics
GSE152469|cite_seq|Homo sapiens|3|GSE152469_RAW.tar(24MB)|cancer,immunology,drug_response,cell_stress,signal_transduction|CITE-Seq profiling of CLL under ibrutinib treatment  reveals transcriptional evolution of leukemic and immune cells.|irreversible Bruton Tyrosine Kinase BTK inhibitor revolutionized Chronic Lymphocytic Leukemia resistances emerged relation mutations patterns therapy often focused must context microenvironment|multiomics
GSE152020|other_multiomics|Homo sapiens; Mus musculus|102|GSE152020_ChromHMM_output.tar.gz(33MB), GSE152020_Paired-seq_DNA_filtered_matrix.tar.gz(124MB), GSE152020_Paired-Tag_bigwigs.tar.gz(2.0GB), GSE152020_Paired-Tag_H3K27ac_DNA_filtered_matrix.tar.gz(47MB), GSE152020_Paired-Tag_H3K27me3_DNA_filtered_matrix.tar.gz(17MB), GSE152020_Paired-Tag_H3K4me1_DNA_filtered_matrix.tar.gz(103MB), GSE152020_Paired-Tag_H3K4me3_DNA_filtered_matrix.tar.gz(23MB), GSE152020_Paired-Tag_H3K9me3_DNA_filtered_matrix.tar.gz(73MB), GSE152020_Paired-Tag_RNA_filtered_matrix.tar.gz(183MB)|neuroscience,development,epigenetics,skeletal_muscle|Joint profiling of histone modifications and transcriptome in single cells from mouse brain|Genome-wide reveal location activity state regulatory elements cell-type-specific gene expression development disease pathology Conventional assays profile bulk tissue lack resolution due cellular|multiomics
GSE160148|other_multiomics|Homo sapiens|32|GSE160148_RAW.tar(18.0GB), GSE160148_scATAC_COLO320_barcodes.tsv.gz(613KB), GSE160148_scATAC_COLO320.mtx.gz(1.8GB), GSE160148_scATAC_COLO320_peaks.tsv.gz(4MB), GSE160148_scRNA_COLO320_barcodes.tsv.gz(523KB), GSE160148_scRNA_COLO320_features.tsv.gz(200KB), GSE160148_scRNA_COLO320.mtx.gz(1.1GB)|cancer,epigenetics,gene_regulation|ecDNA hubs drive cooperative intermolecular oncogene expression [scRNA and scATAC-Seq]|Extrachromsomal prevalent human cancers high altered chromatin multiple ecDNAs cluster nucleus interphase form transcription preferentially occurs Single-cell multiomics single-molecule sequencing|multiomics
GSE148127|cite_seq|Mus musculus|6|GSE148127_ADT.counts.csv.gz(335KB), GSE148127_metadata.csv.gz(569KB), GSE148127_SCT.normalized.RNA.counts.csv.gz(29MB), GSE148127_TotalA_Ref.csv.gz(878B)|immunology,neuroscience,infectious_disease,gut_intestine,hematopoiesis|Multi-modal single cell analysis reveals gut microbiota reshapes brain immune landscape in aged mouse model|CITE-seq 10x Gemoics-based profile compare transcriptomes surface expression set markers naïve myeloid cells young-adult weeks old wild type C57Bl/6 mice antibiotics induced depletion one sequencing|multiomics
GSE157857|cite_seq|Homo sapiens|6|GSE157857_ADT_HTO_barcode_sequences.xlsx(11KB), GSE157857_RAW.tar(26MB)|immunology,neuroscience,cell_stress|Analysis of IFN-I responses of human CD1c+ DC and monocytes by CITE-sequencing|cell-type specific type-I interferon stimulation analysed across dendritic cell subsets showing drives maturation DC3 acquisition unique costimulatory profile characterized high GITRL expression|multiomics
GSE158579|cite_seq|Mus musculus|3|[GEO:CSV, MTX, TSV]|cancer,immunology,neuroscience,hematopoiesis|CNS-Native Myeloid Cells Drive Immune Suppression in the Brain Metastatic Niche through Cxcl10 [R10_PD-L1+VISTA treatment]|CITE-seq 10x Genomics-based profile compare transcriptomes surface expression epitopes brains anti-VISTA anti-PD-L1 treated Dual control non-treated mice sequenced total eight samples created|multiomics
GSE139971|cite_seq|Mus musculus|3|[GEO:CSV]|cancer,immunology,neuroscience,hematopoiesis,cell_stress|CNS-Native Myeloid Cells Drive Immune Suppression in the Brain Metastatic Niche through Cxcl10 [R08_MgliaDep]|CITE-seq 10x Genomics-based profile compare transcriptomes surface expression epitopes brains blood different transgenic mice Cx3cr1CreERT Cx3cr1CreERT-ROSA-iDTR homeostasis metastasis without|multiomics
GSE139970|cite_seq|Mus musculus|3|[GEO:CSV]|cancer,immunology,neuroscience,hematopoiesis|CNS-Native Myeloid Cells Drive Immune Suppression in the Brain Metastatic Niche through Cxcl10 [R07_Cx3cr1]|CITE-seq 10x Genomics-based profile compare transcriptomes surface expression epitopes brains mice homeostasis metastasis sequenced total eight different samples created antibody pool consisting|multiomics
GSE139969|cite_seq|Mus musculus|3|[GEO:CSV]|cancer,immunology,neuroscience,hematopoiesis|CNS-Native Myeloid Cells Drive Immune Suppression in the Brain Metastatic Niche through Cxcl10 [R07_CCR2Cx3cr1B]|CITE-seq 10x Genomics-based profile compare transcriptomes surface expression epitopes brains blood different transgenic mice homeostasis metastasis sequenced total eight samples created antibody|multiomics
GSE134284|cite_seq|Mus musculus|3|[GEO:CSV]|cancer,immunology,neuroscience,hematopoiesis|CNS-Native Myeloid Cells Drive Immune Suppression in the Brain Metastatic Niche through Cxcl10|CITE-seq 10x Gemoics-based profile compare transcriptomes surface expression set markers naïve wild type C57Bl/6 mice metastasis-associated MAM bearing E0771 metastases sequencing round sequenced|multiomics
GSE133905|cite_seq|Mus musculus|3|GSE133905_ADT-HTO-tags.csv.gz(159B), GSE133905_meta.data.csv.gz(192KB), GSE133905_processed.data.cDNA.csv.gz(67MB)|cancer,immunology,neuroscience,hematopoiesis|CNS-Native Myeloid Cells Drive Immune Suppression in the Brain Metastatic Niche through Cxcl10|CITE-seq 10x Genomics-based profile compare transcriptomes surface expression set markers naïve wild type C57BL/6 mice metastasis-associated MAM bearing E0771 metastases sequencing round sequenced|multiomics
GSE159519|cite_seq|Homo sapiens|12|[GEO:CSV, MTX, TSV]|infectious_disease,lung_respiratory,crispr_gene_editing,drug_response,signal_transduction|Identification of required host factors for SARS-CoV-2 infection in human cells [ECCITE-seq]|better understand host-virus genetic dependencies potential therapeutic targets COVID-19 genome-scale CRISPR loss-of-function screen identify viral alveolar epithelial Top-ranked genes cluster|multiomics
GSE140203|multiome|Homo sapiens; Mus musculus|20|GSE140203_RAW.tar(7.4GB)|neuroscience,epigenetics,lung_respiratory,skeletal_muscle,skin,gene_regulation|Integrative single-cell chromatin and transcriptome profiling uncovers cell-type specific regulatory interactions|Simultaneous measurement different molecular aspects gene regulation help infer functional relationships genome expression understand distinct contribution phenotype present SHARE-seq highly scalable|multiomics
GSE165645|cite_seq|Homo sapiens|4|GSE165645_AgaC2_HD2253_aggr_norm_mapped_barcodes.tsv.gz(66KB), GSE165645_AgaC2_HD2253_aggr_norm_mapped_features.tsv.gz(299KB), GSE165645_AgaC2_HD2253_aggr_norm_mapped_matrix.mtx.gz(80MB), GSE165645_BM_AgaC2_barcodes.tsv.gz(29KB), GSE165645_BM_AgaC2_features.tsv.gz(299KB), GSE165645_BM_AgaC2_matrix.mtx.gz(33MB), GSE165645_BM_HD_2253_barcodes.tsv.gz(37KB), GSE165645_BM_HD_2253_features.tsv.gz(299KB), GSE165645_BM_HD_2253_matrix.mtx.gz(48MB), GSE165645_totalSeqC_barcodes_features.csv.gz(2KB)|immunology,epigenetics,skeletal_muscle,hematopoiesis|Constrained chromatin accessibility in PU.1-mutated agammaglobulinemia patients|CITE-seq measured expression 132 proteins cell surfaces single human bone marrow aspirate cells protein normalized isotype-specific control basis Principal compenent produce UMAP plots clustered like|multiomics
GSE167272|other_multiomics|Homo sapiens|24|GSE167272_processed.ADT.matrix.csv.gz(550KB), GSE167272_processed.gene.matrix.csv.gz(447MB), GSE167272_processed.meta.data.matrix.csv.gz(590KB), GSE167272_processed.vdj.csv.gz(1013KB)|immunology|Single-cell multiomics sequencing (RNA, ADT and VDJ) of CD4+ T cells from peripheral blood of CMV+ and CMV- healthy humans.|goal understand transcriptional features memory induced seropositivity explore TCR repertoire clonality|multiomics
GSE156041|cite_seq|Homo sapiens|9|GSE156041_count_matrix.tsv.gz(44MB)|cancer,hematopoiesis|CITE-seq (cellular indexing of transcriptomes and epitopes by sequencing) of WT and RAS mutant specimens from acute myeloid leukemia (AML) patients.|understand mutations diagnosis|multiomics
GSE149544|cite_seq|Mus musculus|2|GSE149544_all_samples_metadata.csv.gz(1MB), GSE149544_cdc_batf3_rawExprsMatrix_KO_ADT_Seurat.txt.gz(180KB), GSE149544_cdc_batf3_rawExprsMatrix_KO_GEX_Seurat.txt.gz(28MB), GSE149544_cdc_batf3_rawExprsMatrix_WT_ADT_Seurat.txt.gz(188KB), GSE149544_cdc_batf3_rawExprsMatrix_WT_GEX_Seurat.txt.gz(29MB), GSE149544_geneIDs_lukowski_batf3_norm_expression.txt.gz(64KB), GSE149544_RAW.tar(763MB)|immunology,neuroscience,development,gene_regulation,cell_cycle|Absence of Batf3 reveals a new dimension of phenotypic cell state plasticity within conventional dendritic cells|cDCs traditionally subdivided cDC1 cDC2 lineages cDC1-required transcription factor mice harbor population cDC1-like co-expressing cDC2-associated surface molecules single RNA sequencing integrated|multiomics
GSE166949|cite_seq|Mus musculus|2|GSE166949_RAW.tar(117MB)|immunology,skin,cell_stress|Interleukin-17 governs hypoxic adaptation of injured epithelium [CITE-seq & single-cell RNA-seq]|define composition first responder lymphocytes engage crosstalk profiled lymphoytes unwounded health skin different time points wounding RNA-sequencing|multiomics
GSE146514|cite_seq|Homo sapiens|5|[GEO:MTX, TSV]|cancer,development,hematopoiesis,crispr_gene_editing|ZFP36L2 post-transcriptionally controls acute myeloid leukemia differentiation (ECCITE-seq)|Single cell CRISPR screen AML genes|multiomics
GSE164378|cite_seq|Homo sapiens|9|GSE164378_Antibody_HTO_info.xlsx(31KB), GSE164378_RAW.tar(1.4GB), GSE164378_sc.meta.data_3P.csv.gz(3MB), GSE164378_sc.meta.data_5P.csv.gz(842KB)||Integrated analysis of multimodal single-cell data|simultaneous measurement multiple modalities represents exciting frontier genomics necessitates new computational methods define cellular states types introduce weighted-nearest neighbor unsupervised|multiomics
GSE164393|cite_seq|Homo sapiens|2|GSE164393_CRISPRumi.txt.gz(1MB), GSE164393_filtered_feature_bc_matrix.h5(82MB), GSE164393_scMetaData.txt.gz(818KB)|development,crispr_gene_editing,gene_regulation|Evaluating Capture Sequence Performance for Single-cell CRISPR-activation Experiments|combination RNA sequencing inhibition/activation high-throughput approach simultaneously effects hundreds thousands gene perturbations One recent development CRISPR-based techniques introduces|multiomics
GSE171964|cite_seq|Homo sapiens|92|GSE171964_barcodes_v2.tsv.gz(2MB), GSE171964_countsmatrix_v2.mtx.gz(1.4GB), GSE171964_feats_v2.tsv.gz(118KB), GSE171964_geo_pheno_v2.csv.gz(1MB)|infectious_disease|CITE-seq of 6 patients treated with the Pfizer BioNTech BNT162b2 mRNA vaccine|Purpose understand single cell landscape|multiomics
GSE178758|spatial_multiomics|Mus musculus|34|GSE178758_RAW.tar(207MB), GSE178758_scRNA-seq_processed.csv.gz(984KB)|development,fibrosis_wound,skin,drug_response,cell_stress|Integrated spatial multi-omics reveals fibroblast fate during tissue repair|skin injury fibrosis form scars composed dense extracellular matrix deposited fibroblasts therapeutic goal regenerative wound healing remained elusive part because principles programming adaptive|multiomics
GSE176078|cite_seq|Homo sapiens|26|GSE176078_RAW.tar(532MB), GSE176078_Wu_etal_2021_BRCA_scRNASeq.tar.gz(533MB), GSE176078_Wu_etal_2021_bulkRNAseq_raw_counts.txt.gz(5MB)|cancer,immunology,development,microbiology|A single-cell and spatially resolved atlas of human breast cancers|presents transcriptomics develop method intrinsic subtype classification scSubtype reveal recurrent neoplastic heterogeneity Immunophenotyping CITE-Seq high-resolution immune profiles novel|multiomics
GSE158769|cite_seq|Homo sapiens|1|GSE158769_exprs_norm.tsv.gz(3.0GB), GSE158769_exprs_raw.tsv.gz(747MB), GSE158769_meta_data.txt.gz(21MB)|immunology,infectious_disease|Multimodal profiling of 500,000 memory T cells from a tuberculosis cohort|profiled peripheral donors prior disease latent infection identify states other demographic environmental variables higher-resolution definition CITE-seq measure single-cell mRNA surface expression|multiomics
GSE173319|other_multiomics|Homo sapiens|4|GSE173319_RAW.tar(2.3GB)|cancer,development,epigenetics,hematopoiesis,gene_regulation|BCL11B enhancer hijacking defines a subtype of lineage ambiguous stem cell leukemia  [single-cell multiomics]|primitive hematopoietic enhancers generation neo-enhancer genomic amplification deregulation defining feature subset T/myeloid report H3K27ac binding Leukemias|multiomics
GSE166191|cite_seq|Homo sapiens|6|GSE166191_Perturb_Intra_ADTHTO_summary.txt.gz(9MB), GSE166191_Perturb_Intra_fragments.tsv.gz(4.2GB), GSE166191_Perturb_Intra_singlecell.csv.gz(8MB)|immunology,epigenetics,skeletal_muscle|High throughput joint profiling of chromatin accessibility and protein levels in single cells [Tcell_Intra]|Recent technological advances enabled massively parallel single-cell Assay Transposase Accessible sequencing scATAC-seq simultaneously profile epigenomic landscape thousands individual methods sample|multiomics
GSE166188|cite_seq|Homo sapiens|12|GSE166188_RAW.tar(5.8GB)|immunology,epigenetics,skeletal_muscle|High throughput joint profiling of chromatin accessibility and protein levels in single cells [PBMC_Stim_Multiome]|Recent technological advances enabled massively parallel single-cell Assay Transposase Accessible sequencing scATAC-seq simultaneously profile epigenomic landscape thousands individual methods sample|multiomics
GSE154762|other_multiomics|Homo sapiens|941|GSE154762_barcodes_and_cell_information.xlsx(23KB), GSE154762_FGO.gch.merge.bw(831MB), GSE154762_FGO.wcg.merge.bw(169MB), GSE154762_GO.gch.merge.bw(1.1GB), GSE154762_GO.wcg.merge.bw(195MB), GSE154762_Granulosa.gch.merge.bw(900MB), GSE154762_Granulosa.wcg.merge.bw(117MB), GSE154762_hO_scChaRM_count_matix.txt.gz(8MB), GSE154762_Immune.gch.merge.bw(753MB), GSE154762_Immune.wcg.merge.bw(122MB), GSE154762_MI.gch.merge.bw(938MB), GSE154762_MII.gch.merge.bw(805MB), GSE154762_MII.wcg.merge.bw(116MB), GSE154762_MI.wcg.merge.bw(182MB), GSE154762_RAW.tar(33.3GB), GSE154762_StromaC1.gch.merge.bw(996MB), GSE154762_StromaC1.wcg.merge.bw(174MB), GSE154762_StromaC2.gch.merge.bw(979MB), GSE154762_StromaC2.wcg.merge.bw(170MB)|development,epigenetics,reproduction|Decoding dynamic epigenetic landscapes in human oocytes using single-cell multi-omics sequencing|Developing female germ cells undergo genome-wide reprogramming novo DNA methylation dynamics interplay chromatin states transcriptional activation poorly understood developed method scChaRM-seq|multiomics
GSE173747|cite_seq|Homo sapiens|12|GSE173747_antibody_expr_counts.tsv.gz(2MB), GSE173747_cell_info.txt.gz(451KB), GSE173747_expr_data_counts.tsv.gz(203MB)|immunology,drug_response,signal_transduction|VISTA is an activating receptor that binds the proteoglycan Syndecan-2 on monocytes.|indicated name V-domain suppressor cell activation thought primarily serve inhibitory protein limits immune responses VISTA-antibodies dampen effects several concomitantly elicited signals TCR|multiomics
GSE155222|cite_seq|Homo sapiens|6|[GEO:CSV, TAR, TXT]|immunology,infectious_disease|Single-Cell Omics Reveals Dyssynchrony of the Innate and Adaptive Immune System in Progressive COVID-19 [CITE-seq]|dysregulated response against SARS-CoV-2 virus plays critical severe molecular cellular causes lethal immunopathology poorly understood utilize multi-omics probe dynamic responses patients stable|multiomics
GSE158013|other_multiomics|Homo sapiens|34|GSE158013_RAW.tar(14.3GB)|development,epigenetics,gene_regulation,signal_transduction|Simultaneous trimodal single cell measurement of transcripts, epitopes, and chromatin accessibility using TEA-seq|Single-cell measurements cellular characteristics instrumental understanding heterogeneous pathways drive differentiation responses signals human disease Recent advances allowed paired capture|multiomics
GSE165114|multiome|Mus musculus|2|GSE165114_RAW.tar(2.0GB)||Multiomic sequencing of the MGE|Single-cell RNA ATAC cells E13 medial ganglionic eminence|multiomics
GSE183421|cite_seq|Homo sapiens|6|GSE183421_feature_reference.csv.gz(325B), GSE183421_MAIT_cell_metadata.tsv.gz(10KB), GSE183421_MAIT_FB_barcodes.tsv.gz(2KB), GSE183421_MAIT_FB_features.tsv.gz(126B), GSE183421_MAIT_FB_matrix.mtx.gz(11KB), GSE183421_MAIT_object_seurat_v3.rds.gz(14MB), GSE183421_MAIT_RNA_barcodes.tsv.gz(2KB), GSE183421_MAIT_RNA_features.tsv.gz(228KB), GSE183421_MAIT_RNA_matrix.mtx.gz(2MB)|immunology,development,reproduction,gene_regulation|Multiomic analysis reveals decidual-specific transcriptional programing of MAIT cells|Problem Mucosal-Associated Invariant recently maternal-fetal interface programming pregnancy poorly understood Method employed approach address question Mononuclear basalis parietalis control PBMCs|multiomics
GSE171554|other_multiomics|Mus musculus|21|[GEO:BEDGRAPH, TXT]|immunology,epigenetics|Simultaneous profiling of multiple chromatin proteins in the same cells|Methods derived CUT RUN Tag enable genome-wide mapping localization few one other approaches focus time preventing direct measurements co-localization different requiring prioritization targets|multiomics
GSE165045|cite_seq|Homo sapiens|34|GSE165045_BL10_filtered_contig_annotations.csv.gz(78KB), GSE165045_BL10_filtered_feature_bc_matrix.h5(8MB), GSE165045_BL11_filtered_contig_annotations.csv.gz(344KB), GSE165045_BL11_filtered_feature_bc_matrix.h5(15MB), GSE165045_BL12_filtered_contig_annotations.csv.gz(68KB), GSE165045_BL12_filtered_feature_bc_matrix.h5(6MB), GSE165045_BL1_filtered_contig_annotations.csv.gz(66KB), GSE165045_BL1_filtered_feature_bc_matrix.h5(6MB), GSE165045_BL2_filtered_contig_annotations.csv.gz(52KB), GSE165045_BL2_filtered_feature_bc_matrix.h5(9MB), GSE165045_BL3_filtered_contig_annotations.csv.gz(142KB), GSE165045_BL3_filtered_feature_bc_matrix.h5(9MB), GSE165045_BL4_filtered_contig_annotations.csv.gz(185KB), GSE165045_BL4_filtered_feature_bc_matrix.h5(10MB), GSE165045_BL5_filtered_contig_annotations.csv.gz(132KB), GSE165045_BL5_filtered_feature_bc_matrix.h5(9MB), GSE165045_BL6_filtered_contig_annotations.csv.gz(21KB), GSE165045_BL6_filtered_feature_bc_matrix.h5(6MB), GSE165045_BL7_filtered_contig_annotations.csv.gz(10KB), GSE165045_BL7_filtered_feature_bc_matrix.h5(9MB), GSE165045_BL8_filtered_contig_annotations.csv.gz(50KB), GSE165045_BL8_filtered_feature_bc_matrix.h5(15MB), GSE165045_BL9_filtered_contig_annotations.csv.gz(39KB), GSE165045_BL9_filtered_feature_bc_matrix.h5(5MB)|immunology|Single-cell sequencing unveils distinct immune microenvironment in human chronic pancreatitis|Purpose considered irreversible fibroinflammatory pancreatic disease active FDA approved therapy Due difficulty accessing pancreas tissues little local responses attempted uncover disease-specific|multiomics
